impact,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Unused Domestic Extraction,33579746.12391621,34288348.42958066,35033430.01885065,35313285.510910936,35276667.16836561,36013238.877858534,37232892.82247332,37226605.7412738,38300962.10353844,39923326.48864208,41500883.70651279,42729158.564044,44036502.94168032,44838013.21236197,44470954.86285718,46223200.812307335,47726966.088332854,49002454.39777278,50543165.460301705
Water Consumption Green - Agriculture,5085091.5590295745,5425188.55206375,5391239.012691697,5412408.346577791,5507489.209077239,5522492.071753614,5756299.331304464,5689000.549552604,6015135.052698782,6248566.532800158,6405280.719971711,6496474.210953876,6708637.179617676,7070827.614484825,6967520.590855621,7292558.137727741,7283823.370795127,7935322.807340605,7764618.982387113
Water Consumption Blue - Agriculture,814412.8729413381,846595.6677426843,855317.4742886247,852759.2990060824,878631.6944992589,867263.1916201034,866208.5395116027,872228.6304845802,884287.2476688457,920928.8990473544,940277.9289513626,962959.6151387234,1001995.6054542562,999954.3993330394,1004500.7566560942,1040250.2924964534,1038126.8669430258,1166878.261376881,1145883.4755436662
Water Consumption Blue - Livestock,26662.926918399997,26724.6314801,26767.571652299997,26651.373492899995,26927.819034500004,27132.5792924,27249.34473649999,27654.053926599998,28017.68673509998,28588.558246000004,29174.893783899992,29717.95530899999,30224.15718969999,30529.915735199993,30835.8550272,31125.483658799996,31125.483658799996,33563.04464455547,34305.41486586021
Water Consumption Blue - Manufacturing,30096.276834678098,30053.88684843145,29673.190559575134,28892.821305272613,28399.320351099333,38039.66641781802,40749.26730077315,42019.11581018517,42357.12555578122,42980.54520038528,56939.782063240884,59183.14690312055,65090.38462144915,57991.67520825196,66330.1069883707,71977.71194741475,74359.34793817012,86143.09119226594,88329.28229426642
Water Consumption Blue - Electricity,12468.788483746217,12729.470612641993,12790.810857911072,12983.961608406882,13125.106386711082,13804.328410541746,13974.01212199784,14267.488954251297,14769.980589572991,15249.655238889294,15591.752994945373,16058.812750436557,16690.51812645064,16718.600684458474,16344.120071089957,16249.753399562429,16249.753399560244,17127.313751451984,16147.628782364893
Water Consumption Blue - Domestic,96052.32693549289,44012.09899600001,44594.5686,50532.32762099999,50696.533896000015,51454.118871,52653.15608400001,53434.63938100001,53938.444792999995,54921.402925,56539.265376999996,58059.421706,60619.106693,62597.148118000005,63558.430219999995,63572.01211099999,65590.28042499999,65590.28042499999,71783.64368698846
Water Consumption Blue - Total,979693.1921136553,960115.7556798565,969143.6159584115,971819.783033663,997780.4741675697,997693.8846118631,1000834.319754873,1009603.928556616,1023370.4853422989,1062669.0606576297,1098523.6231704478,1125978.9518072808,1174619.7720848569,1167791.73907895,1181569.2689627558,1223175.25361323,1225451.7323645568,1369301.9913901533,1356449.445173146
Water Withdrawal Blue - Manufacturing,209966.66395729277,210951.3816170459,209590.32550145965,204952.57938102545,199837.35027827902,210959.46418557546,221367.41383371802,227239.57243372104,225007.77386263438,228487.06942347676,259062.28938433967,268864.9078820001,289732.9669433897,274270.06075728545,287155.6702375338,307704.4250518485,315869.913886175,350952.2527930129,344680.5445660587
Water Withdrawal Blue - Electricity,502921.06710154185,513894.99130139186,513041.5449107603,518042.27003592247,512680.7936160562,525818.9127394868,531124.3533838332,539885.9214058362,533690.6859843716,542596.5937952276,549186.1943502082,561043.5708859673,584209.4996400297,588759.4998653991,572393.2697583868,567777.2232786863,567777.2232786411,616361.9809701467,573563.9719124902
Water Withdrawal Blue - Domestic,574679.960862746,306289.32066,311009.04007,316358.808712,316628.345188,319990.348525,325980.447362,329827.021112,331599.297732,336136.472303,344476.061479,351981.87351999996,365308.172,375366.9960199999,380009.15442999994,378125.36153000005,388595.2904099999,388595.2904099999,426783.0910056698
Water Withdrawal Blue - Total,1287567.6919215801,1031135.6935784372,1033640.9104822205,1039353.6581289462,1029146.489082335,1056768.725450062,1078472.2145795517,1096952.514951557,1090297.757579005,1107220.1355217048,1152724.5452135475,1181890.3522879665,1239250.6385834182,1238396.5566426849,1239558.0944259213,1253607.0098605345,1272242.4275748157,1355909.5241731592,1345027.6074842196
"Carbon dioxide (CO2) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)",22856256.93435262,22199103.093388237,22560593.1489759,22684585.121384326,22769714.8942394,23657779.09296378,23901278.483025298,24391349.27966896,25369559.07765664,26672875.610447966,27778033.51473173,28750686.03871622,29750587.47478719,30024081.115543544,29591002.210495688,31330358.36308465,32482755.861062046,32496183.51016628,32993259.526028562
