stressor,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Indeno(1,2,3-cd)pyrene - combustion - air",3971999.4114539335,3912045.122293655,3931189.252813424,3808455.9446914787,3829902.8326184256,3817762.246312054,3765830.5256103715,3730106.881997725,3743951.9830982364,3757069.407827461,3746629.459008705,3748213.8365983814,3718709.5766890403,3730469.3788241395,3705950.4786216975,3686591.0473179277,3654268.8363619614,3647546.750896868,3633451.486993915
PCBs - combustion - air,34218.241971089206,35089.37724913248,33701.631535613276,33358.42227703491,33012.77637764213,34149.96623896084,33949.77101672344,34612.80223885023,37245.96958547853,38840.192088356074,41030.95661480553,43826.16383243746,45747.69194891118,44830.7700864676,45277.89177669864,47799.54570087186,51658.17263906646,53646.9295145492,55604.38775838743
PCDD_F - combustion - air,22.807363653842927,22.206282506946156,22.32108979758125,21.515752295235863,21.495608873092483,21.599150138238283,21.35368639111661,21.386339028916673,21.60263771385648,21.996688208658746,22.21400111732498,22.61820238968544,22.7085011823993,22.790626774154237,22.74265019919411,22.892072391097372,23.16269213245288,23.38191301938864,23.425524559864343
HCB - combustion - air,208.5943047476083,212.04715037859245,207.79183973268283,207.23410072074608,206.2136316737177,209.93551426035066,207.84581565598393,209.1178058339205,221.6487485532162,230.280391514807,235.85658832212152,249.78479135528517,253.86175967056002,253.8127594678149,257.57700628600617,263.71085692914744,276.16159583732576,282.4779086919177,290.35205943240555
NMVOC - combustion - air,58503593014.64532,58660181781.0569,57557935062.81277,56545675917.373,55453848697.0612,54090555791.75966,52426983933.14458,51493822706.52338,49649589213.62617,48509652622.58136,47436078214.92662,46443612497.07344,45450314285.59003,44472242875.901695,43449173742.33549,43056120409.65571,41895088421.20486,42364324561.63848,43126564334.9834
PM10 - combustion - air,24052994118.048504,23947755504.790024,23954831779.195244,23597034452.42559,23678655110.070602,23895421764.07379,23548607635.152905,23698489653.39212,24279626692.52529,24655396775.47117,24985490794.726906,25447757490.60179,25664015591.39736,25272128555.371376,25048027231.510048,25430195536.573853,25838803735.821175,26096092612.242897,26306256101.693398
PM2.5 - combustion - air,19629405145.342915,19531232029.86151,19609966565.66381,19320864157.264095,19396039602.117867,19459845544.801895,19136388973.91952,19205668102.147537,19466773533.764885,19630149024.252846,19757026974.427147,19970828002.382793,20009896621.689537,19683518811.50285,19459570015.061584,19616067240.690628,19685939539.22879,19803033046.123837,19889503613.544205
TSP - combustion - air,39915553257.969025,39312796375.14043,39299917341.24412,38161468387.35712,38239600187.79135,37925862891.809555,37435636250.83551,37858121984.489716,38964751928.13704,40057109834.20833,41183200696.16762,42347045295.62025,43082906011.417984,43447965270.08595,44709406515.66609,46244315563.30417,47416464876.54579,48043297755.30767,49225762985.25544
As - combustion - air,47035916.705648646,49390824.76777071,49848692.28824148,50213819.7770546,53754780.049238265,55101792.17158451,52439080.38513682,54364665.636828326,56651611.96675425,61962778.937136374,65143850.37761942,69888249.79040565,74473881.70253356,73759326.96468996,69576150.06657086,73641973.99720898,73335739.3628388,70896672.01074992,70865367.65306395
Cd - combustion - air,3147871.960826765,3291206.792003658,3311882.1588160703,3327201.42957004,3541409.474118512,3626972.0453962125,3462798.219910765,3585248.585565705,3741219.4846290173,4063057.339276431,4258592.033585665,4545312.565151546,4827693.402737563,4761399.671245501,4505383.812221214,4756214.137105357,4748670.487614469,4601646.897991408,4604819.270368778
